id,name,target,equipment,image,difficulty,bodyPart,description,video
11,Incline Dumbbell Press,Upper Chest,Dumbbell / Bench,https://i.imgur.com/Cy17n2c.gif,Intermediate,Chest,1. Lie on incline bench. 2. Press dumbbells up. 3. Lower slowly.,https://www.youtube.com/watch?v=8iPEnn-ltC8
12,Leg Extension,Quads,Leg Extension Machine,https://i.imgur.com/DQlk6zT.gif,Beginner,Legs,1. Sit on machine. 2. Extend legs fully. 3. Lower slowly.,https://www.youtube.com/watch?v=YyvSfVjQeL0
13,Leg Curl Machine,Hamstrings,Leg Curl Machine,https://i.imgur.com/pzUuK0p.gif,Beginner,Legs,1. Lie or sit depending on machine. 2. Curl legs. 3. Lower slowly.,https://www.youtube.com/watch?v=1Tq3QdYUuHs
14,Chest Fly Machine,Chest,Machine,https://i.imgur.com/V2mfjlK.gif,Intermediate,Chest,1. Sit and grab handles. 2. Bring arms together in front. 3. Return slowly.,https://www.youtube.com/watch?v=eozdVDA78K0
15,Cable Lateral Raise,Shoulders,Cable Machine,https://i.imgur.com/fOEri8S.gif,Intermediate,Shoulders,1. Stand by cable. 2. Raise arm to side. 3. Lower slowly.,https://www.youtube.com/watch?v=kDqklk1ZESo
16,T-Bar Row,Back,T-Bar,https://i.imgur.com/1wDwBqB.gif,Intermediate,Back,1. Hold T-bar. 2. Row towards chest. 3. Lower slowly.,https://www.youtube.com/watch?v=Eo-KmOd3i7s
17,Hip Thrust Machine,Glutes,Smith / Machine,https://i.imgur.com/gl9VxMx.gif,Intermediate,Glutes,1. Sit with back against bench. 2. Thrust hips up. 3. Lower slowly.,https://www.youtube.com/watch?v=LM8XHLYJoYs
18,Cable Crunch,Abs,Cable Machine,https://i.imgur.com/03X37mP.gif,Beginner,Abs,1. Kneel at cable machine. 2. Crunch down. 3. Return slowly.,https://www.youtube.com/watch?v=2pLT-olgUJs
19,Dumbbell Lunges,Legs / Glutes,Dumbbell,https://i.imgur.com/NQSEX0C.gif,Intermediate,Legs,1. Hold dumbbells. 2. Step forward and lower. 3. Push back.,https://www.youtube.com/watch?v=D7KaRcUTQeE
20,Cable Face Pull,Upper Back / Rear Delts,Cable Machine,https://i.imgur.com/F0zB8v4.gif,Intermediate,Back,1. Grab rope at cable. 2. Pull towards face. 3. Release slowly.,https://www.youtube.com/watch?v=rep-qVOkqgk
21,Chest Press Machine,Chest,Machine,https://i.imgur.com/fhU7F1h.gif,Beginner,Chest,1. Sit and hold handles. 2. Push forward. 3. Return slowly.,https://www.youtube.com/watch?v=7IkNFs3SfI4
22,Preacher Curl Machine,Biceps,Preacher Curl Machine,https://i.imgur.com/4WM5ZTZ.gif,Intermediate,Arms,1. Sit at preacher bench. 2. Curl bar/dumbbell. 3. Lower slowly.,https://www.youtube.com/watch?v=E7v2ztv-G2s
23,Back Extension Machine,Lower Back,Machine,https://i.imgur.com/5rGf8bm.gif,Beginner,Back,1. Lie face down. 2. Lift torso. 3. Lower slowly.,https://www.youtube.com/watch?v=ph3p8lJZE8Q
24,Seated Leg Press Machine,Legs,Machine,https://i.imgur.com/vf8G5pY.gif,Beginner,Legs,1. Sit and place feet. 2. Push platform. 3. Return slowly.,https://www.youtube.com/watch?v=IZxyjW7MPJQ
25,Cable Upright Row,Shoulders / Traps,Cable Machine,https://i.imgur.com/7W0bVX1.gif,Intermediate,Shoulders,1. Hold rope/bar. 2. Pull to chin. 3. Lower slowly.,https://www.youtube.com/watch?v=2yjwXTZQDDI
26,Decline Bench Press,Chest,Barbell / Bench,https://i.imgur.com/6XyAhZL.gif,Intermediate,Chest,1. Lie on decline bench. 2. Press barbell up. 3. Lower slowly.,https://www.youtube.com/watch?v=2-LAMcpzODU
27,Seated Dumbbell Triceps Extension,Triceps,Dumbbell,https://i.imgur.com/M9YK5fo.gif,Intermediate,Arms,"1. Sit, hold dumbbell. 2. Extend arms overhead. 3. Lower slowly.",https://www.youtube.com/watch?v=vB5OHsJ3EME
28,Machine Shoulder Press,Shoulders,Machine,https://i.imgur.com/gYPXevt.gif,Intermediate,Shoulders,1. Sit at machine. 2. Press handles up. 3. Lower slowly.,https://www.youtube.com/watch?v=B-aVuyhvLHU
29,Cable Rear Delt Fly,Rear Delts,Cable Machine,https://i.imgur.com/GAyvMCA.gif,Intermediate,Shoulders,1. Hold handles. 2. Open arms to sides. 3. Return slowly.,https://www.youtube.com/watch?v=4oJ4tW9x6Mo
30,Seated Calf Raise Machine,Calves,Machine,https://i.imgur.com/9dxVmBR.gif,Beginner,Legs,1. Sit and place balls of feet. 2. Lift heels. 3. Lower slowly.,https://www.youtube.com/watch?v=-M4-G8p8fmc
31,Arnold Dumbbell Press,Shoulders,Dumbbell,https://i.imgur.com/5XynhXt.gif,Intermediate,Shoulders,1. Sit on bench with back support and hold dumbbells. 2. Rotate palms outward while pressing up. 3. Lower slowly back down.,https://www.youtube.com/watch?v=vj2w851ZHRM
32,Incline Barbell Press,Upper Chest,Barbell / Bench,https://i.imgur.com/2hKqUoG.gif,Intermediate,Chest,"1. Lie on an incline bench (30-45°). 2. Lower bar to chest, then press up.",https://www.youtube.com/watch?v=DbFgADa2PL8
33,Dumbbell Fly,Chest,Dumbbell,https://i.imgur.com/vqP84yT.gif,Intermediate,Chest,"1. Lie on a flat bench. 2. Open arms wide with dumbbells, then bring them together over chest.",https://www.youtube.com/watch?v=eozdVDA78K0
34,Incline Dumbbell Fly,Upper Chest,Dumbbell / Bench,https://i.imgur.com/7F0uKQp.gif,Intermediate,Chest,"1. Lie on an incline bench. 2. Open arms wide with dumbbells, then bring them together over chest.",https://www.youtube.com/watch?v=3XKq7Z9Zkfg
35,Cable Chest Press,Chest,Cable,https://i.imgur.com/5LMh2Af.gif,Intermediate,Chest,1. Stand between cable columns holding handles. 2. Press forward and slowly return.,https://www.youtube.com/watch?v=4X8sK7L3c9Y
36,Barbell Hip Thrust,Glutes,Barbell,https://i.imgur.com/L7N9sDF.gif,Intermediate,Glutes,"1. Place shoulders on bench with barbell over hips. 2. Thrust hips upward, lower slowly.",https://www.youtube.com/watch?v=LM8XHLYJoYs
37,Dumbbell Step-up,Legs / Glutes,Dumbbell,https://i.imgur.com/BXyB4Qp.gif,Intermediate,Legs,"1. Hold dumbbells, step onto a bench or platform. 2. Step down, alternate legs.",https://www.youtube.com/watch?v=dQqApCGd5Ss
38,Cable Rope Overhead Triceps Extension,Triceps,Cable,https://i.imgur.com/Z2hUP7D.gif,Intermediate,Arms,"1. Hold rope overhead. 2. Extend arms fully, then slowly return.",https://www.youtube.com/watch?v=vB5OHsJ3EME
39,Standing Barbell Curl,Biceps,Barbell,https://i.imgur.com/yz2eH7A.gif,Beginner,Arms,"1. Hold barbell with arms straight. 2. Curl towards shoulders, lower slowly.",https://www.youtube.com/watch?v=kwG2ipFRgfo
40,Dumbbell Hammer Curl,Biceps,Dumbbell,https://i.imgur.com/Wr7wXME.gif,Beginner,Arms,"1. Hold dumbbells with neutral grip. 2. Curl up to shoulders, lower slowly.",https://www.youtube.com/watch?v=zC3nLlEvin4
41,Incline Dumbbell Curl,Biceps,Dumbbell / Bench,https://i.imgur.com/4OjdHPp.gif,Intermediate,Arms,"1. Lie on incline bench, arms down. 2. Curl dumbbells up, lower slowly.",https://www.youtube.com/watch?v=soxrZlIl35U
42,Seated Leg Curl,Hamstrings / Legs,Machine,https://i.imgur.com/qPlmCkZ.gif,Beginner,Legs,"1. Sit on machine with pad on lower legs. 2. Curl legs towards glutes, lower slowly.",https://www.youtube.com/watch?v=1Tq3QdYUuHs
43,Standing Calf Raise,Calves / Legs,Bodyweight / Machine,https://i.imgur.com/Ny6x9lR.gif,Beginner,Legs,"1. Stand on edge, lift heels up, lower slowly.",https://www.youtube.com/watch?v=-M4-G8p8fmc
44,Smith Machine Bench Press,Chest / Triceps,Smith Machine,https://i.imgur.com/yRkfZ4V.gif,Intermediate,Chest,"1. Lie on flat bench with Smith bar. 2. Lower to chest, press up.",https://www.youtube.com/watch?v=rT7DgCr-3pg
45,Incline Smith Machine Press,Upper Chest,Smith Machine,https://i.imgur.com/3bY5lH3.gif,Intermediate,Chest,"1. Lie on incline bench with Smith bar. 2. Press up, lower slowly.",https://www.youtube.com/watch?v=2yjwXTZQDDI
46,Dumbbell Front Raise,Shoulders,Dumbbell,https://i.imgur.com/pU91kVt.gif,Beginner,Shoulders,"1. Hold dumbbells in front of thighs. 2. Raise straight up to shoulder height, lower slowly.",https://www.youtube.com/watch?v=-t7fuZ0KhDA
47,Cable Lateral Raise,Shoulders,Cable,https://i.imgur.com/fOEri8S.gif,Intermediate,Shoulders,"1. Stand by cable column, hold handle. 2. Raise to side to shoulder level, lower slowly.",https://www.youtube.com/watch?v=kDqklk1ZESo
48,Dumbbell Shrug,Traps / Shoulders,Dumbbell,https://i.imgur.com/Ay2KdxY.gif,Beginner,Shoulders,1. Hold dumbbells. 2. Shrug shoulders up and down slowly.,https://www.youtube.com/watch?v=CvNH0kBRwT0
49,Chest Dips,Chest / Triceps,Bodyweight / Dip Bar,https://i.imgur.com/7GhSxsk.gif,Intermediate,Chest,"1. Grab dip bars. 2. Lower body slowly, push back up.",https://www.youtube.com/watch?v=2z8JmcrW-As
50,Lat Pullover Machine,Chest / Lats,Machine,https://i.imgur.com/3v3V1GK.gif,Intermediate,Chest,"1. Sit on machine, hold handles. 2. Pull weight from behind head to front slowly.",https://www.youtube.com/watch?v=EJk8V
51,Push-up,Chest / Triceps,Bodyweight,https://i.imgur.com/1aU5RrS.gif,Beginner,Chest,1. Place hands shoulder-width apart. 2. Lower body until chest nearly touches ground. 3. Push back up.,https://www.youtube.com/watch?v=IODxDxX7oi4
52,Pull-up,Back / Biceps,Bodyweight,https://i.imgur.com/8XjGqG9.gif,Intermediate,Back,1. Grab bar with palms facing away. 2. Pull body up until chin above bar. 3. Lower slowly.,https://www.youtube.com/watch?v=eGo4IYlbE5g
53,Bodyweight Squat,Legs / Glutes,Bodyweight,https://i.imgur.com/2Cld8xK.gif,Beginner,Legs,1. Stand feet shoulder-width apart. 2. Squat down keeping chest up. 3. Push through heels to stand.,https://www.youtube.com/watch?v=aclHkVaku9U
54,Lunge,Legs / Glutes,Bodyweight,https://i.imgur.com/NQSEX0C.gif,Beginner,Legs,1. Step forward with one leg. 2. Lower hips until both knees are bent 90°. 3. Push back to start.,https://www.youtube.com/watch?v=QOVaHwm-Q6U
55,Plank,Abs / Core,Bodyweight,https://i.imgur.com/dQH3uJl.gif,Beginner,Abs,1. Support body on elbows and toes. 2. Keep body straight. 3. Hold position.,https://www.youtube.com/watch?v=pSHjTRCQxIw
56,Mountain Climber,Abs / Cardio,Bodyweight,https://i.imgur.com/Kv83fhn.gif,Beginner,Abs,1. Start in plank. 2. Alternate bringing knees to chest quickly. 3. Keep core tight.,https://www.youtube.com/watch?v=nmwgirgXLYM
57,Burpee,Full Body / Cardio,Bodyweight,https://i.imgur.com/wFfAj0R.gif,Intermediate,Full Body,"1. Squat, place hands on floor. 2. Jump feet back into plank. 3. Jump forward and up.",https://www.youtube.com/watch?v=dZgVxmf6jkA
58,Tricep Dip,Triceps / Chest,Bodyweight,https://i.imgur.com/y5P8t7W.gif,Beginner,Arms,1. Place hands on bench. 2. Lower body by bending elbows. 3. Push back up.,https://www.youtube.com/watch?v=tKjcgfu44sI
59,Glute Bridge,Glutes / Hamstrings,Bodyweight,https://i.imgur.com/1d1lXJ9.gif,Beginner,Glutes,"1. Lie on back, knees bent. 2. Lift hips until body forms straight line. 3. Lower slowly.",https://www.youtube.com/watch?v=m2Zx-0zP3aI
60,Side Plank,Obliques / Core,Bodyweight,https://i.imgur.com/3H2kQvZ.gif,Beginner,Abs,"1. Lie on side, support on elbow. 2. Lift hips, keep body straight. 3. Hold.",https://www.youtube.com/watch?v=wqzrb67Dwf8
61,High Knees,Legs / Cardio,Bodyweight,https://i.imgur.com/ErqVgQ7.gif,Beginner,Legs,"1. Run in place, lifting knees to chest. 2. Pump arms. 3. Maintain speed.",https://www.youtube.com/watch?v=OAJ_J3EZkdY
62,Jumping Jack,Full Body / Cardio,Bodyweight,https://i.imgur.com/qf3c3Db.gif,Beginner,Full Body,"1. Jump with legs apart, arms overhead. 2. Return to start. 3. Repeat.",https://www.youtube.com/watch?v=c4DAnQ6DtF8
63,Reverse Lunge,Legs / Glutes,Bodyweight,https://i.imgur.com/4tv5cnA.gif,Beginner,Legs,"1. Step backward, lower into lunge. 2. Push back to start. 3. Alternate legs.",https://www.youtube.com/watch?v=2C-uNgKwPLE
64,Diamond Push-up,Chest / Triceps,Bodyweight,https://i.imgur.com/K5W2FJo.gif,Intermediate,Chest,1. Hands together forming diamond. 2. Lower chest to hands. 3. Push back up.,https://www.youtube.com/watch?v=J0DnG1_S92I
65,Leg Raise,Abs / Core,Bodyweight,https://i.imgur.com/0p2v6tX.gif,Beginner,Abs,"1. Lie on back, legs straight. 2. Lift legs until vertical. 3. Lower slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
66,Bicycle Crunch,Abs / Obliques,Bodyweight,https://i.imgur.com/8Z5blTU.gif,Beginner,Abs,"1. Lie on back, hands behind head. 2. Alternate elbow to opposite knee. 3. Repeat.",https://www.youtube.com/watch?v=9FGilxCbdz8
67,Side Lunge,Legs / Glutes,Bodyweight,https://i.imgur.com/Hkl19gL.gif,Beginner,Legs,"1. Step to side, bend knee, push hips back. 2. Return to start. 3. Alternate sides.",https://www.youtube.com/watch?v=1NJclIo2F9I
68,Inchworm,Full Body / Flexibility,Bodyweight,https://i.imgur.com/3bD3p9W.gif,Beginner,Full Body,"1. Stand, bend forward, walk hands to plank. 2. Walk feet forward. 3. Repeat.",https://www.youtube.com/watch?v=8Z3LwRk3RyI
69,Wall Sit,Legs / Quads,Bodyweight,https://i.imgur.com/4Vq8lK1.gif,Beginner,Legs,1. Lean back against wall. 2. Slide down until knees 90°. 3. Hold.,https://www.youtube.com/watch?v=-cdph8hv0O0
70,Superman,Back / Glutes,Bodyweight,https://i.imgur.com/5xK5C1M.gif,Beginner,Back,1. Lie face down. 2. Lift arms and legs off floor. 3. Hold and lower slowly.,https://www.youtube.com/watch?v=z6PJMT2y8GQ
71,Pike Push-up,Shoulders / Triceps,Bodyweight,https://i.imgur.com/7aE5Q1x.gif,Intermediate,Shoulders,"1. Form inverted V. 2. Bend elbows, lower head. 3. Push back up.",https://www.youtube.com/watch?v=2z8JmcrW-As
72,Flutter Kick,Abs / Legs,Bodyweight,https://i.imgur.com/1Zz6vR4.gif,Beginner,Abs,"1. Lie on back, lift legs slightly. 2. Alternate kicking up and down. 3. Keep core tight.",https://www.youtube.com/watch?v=Kj4cy0yibEo
73,Skater Jump,Legs / Glutes,Bodyweight,https://i.imgur.com/oU5k1hX.gif,Intermediate,Legs,1. Leap sideways to land on one foot. 2. Swing other leg behind. 3. Alternate sides.,https://www.youtube.com/watch?v=V7S16V8-6-8
74,Clapping Push-up,Chest / Triceps,Bodyweight,https://i.imgur.com/Zq2hT2Q.gif,Advanced,Chest,"1. Perform push-up, push explosively. 2. Clap hands mid-air. 3. Land softly and repeat.",https://www.youtube.com/watch?v=Eh00_rniF8E
75,Reverse Plank,Abs / Glutes,Bodyweight,https://i.imgur.com/v8tL7bC.gif,Beginner,Abs,"1. Sit, hands behind. 2. Lift hips to form straight line. 3. Hold.",https://www.youtube.com/watch?v=7V1pLqj0cVk
76,Step-up (onto chair),Legs / Glutes,Bodyweight,https://i.imgur.com/9QfXw2p.gif,Beginner,Legs,"1. Step onto chair with one foot. 2. Push through heel. 3. Step down, alternate.",https://www.youtube.com/watch?v=dQqApCGd5Ss
77,Wall Handstand Hold,Shoulders / Core,Bodyweight,https://i.imgur.com/1Ht9k7X.gif,Intermediate,Shoulders,1. Kick into handstand against wall. 2. Hold position. 3. Lower carefully.,https://www.youtube.com/watch?v=qbMZEDHkR8Y
78,Crab Walk,Full Body / Core,Bodyweight,https://i.imgur.com/4eWb9tV.gif,Beginner,Full Body,"1. Sit, lift hips. 2. Walk forward/backward on hands and feet. 3. Keep core tight.",https://www.youtube.com/watch?v=AbkTCD2E6_s
79,Donkey Kick,Glutes / Hamstrings,Bodyweight,https://i.imgur.com/2HfC5K9.gif,Beginner,Glutes,1. Start on all fours. 2. Kick leg back and up. 3. Lower slowly. Alternate.,https://www.youtube.com/watch?v=0k6wEerO3jY
80,Bear Crawl,Full Body / Core,Bodyweight,https://i.imgur.com/Yz7GkP5.gif,Intermediate,Full Body,1. Crawl on hands and feet forward/backward. 2. Keep low and core tight.,https://www.youtube.com/watch?v=H2j0VxWcl3A
81,Side Leg Raise,Glutes / Hips,Bodyweight,https://i.imgur.com/X8hTRxh.gif,Beginner,Glutes,1. Lie on side. 2. Lift top leg up. 3. Lower slowly.,https://www.youtube.com/watch?v=UFyfHOD4Ev8
82,Reverse Crunch,Abs / Core,Bodyweight,https://i.imgur.com/1fJhwkl.gif,Beginner,Abs,1. Lie on back. 2. Lift hips towards chest. 3. Lower slowly.,https://www.youtube.com/watch?v=hyv14e2QDq0
83,Spiderman Push-up,Chest / Core,Bodyweight,https://i.imgur.com/2vIxDCt.gif,Intermediate,Chest,"1. Perform push-up, bring knee to elbow. 2. Return and repeat other side.",https://www.youtube.com/watch?v=1QZw7gKjz2I
84,Jump Squat,Legs / Glutes,Bodyweight,https://i.imgur.com/1xwR21v.gif,Intermediate,Legs,"1. Squat down. 2. Jump explosively up. 3. Land softly, repeat.",https://www.youtube.com/watch?v=U4s4mEQ5VqU
85,Side Plank Hip Dip,Obliques / Core,Bodyweight,https://i.imgur.com/2vH7Xtw.gif,Intermediate,Abs,1. Hold side plank. 2. Lower hips towards floor. 3. Lift back up.,https://www.youtube.com/watch?v=K2VljzCC16g
86,Single Leg Glute Bridge,Glutes / Hamstrings,Bodyweight,https://i.imgur.com/3t5s0IW.gif,Intermediate,Glutes,"1. Lie on back, one foot on floor. 2. Lift hips. 3. Lower slowly, alternate.",https://www.youtube.com/watch?v=8bbE64NuDTU
87,Donkey Kick to Pulse,Glutes / Hamstrings,Bodyweight,https://i.imgur.com/2Jk5jVn.gif,Intermediate,Glutes,"1. On all fours, kick leg up. 2. Pulse at top. 3. Lower slowly.",https://www.youtube.com/watch?v=0k6wEerO3jY
88,Hollow Body Hold,Abs / Core,Bodyweight,https://i.imgur.com/4w2aFhS.gif,Intermediate,Abs,"1. Lie on back. 2. Lift arms/legs, hold. 3. Keep core tight.",https://www.youtube.com/watch?v=lp8Xzjt6V8I
89,Wall Push-up,Chest / Arms,Bodyweight,https://i.imgur.com/3n1q3jK.gif,Beginner,Chest,1. Place hands on wall. 2. Lower chest to wall. 3. Push back.,https://www.youtube.com/watch?v=1XxT1DDI9OA
90,Standing Side Crunch,Obliques / Core,Bodyweight,https://i.imgur.com/5K9VxfR.gif,Beginner,Abs,"1. Stand. 2. Bend torso sideways, elbow towards hip. 3. Return slowly.",https://www.youtube.com/watch?v=8jO2eL3qT0A
91,Leg Circles,Abs / Hips,Bodyweight,https://i.imgur.com/1L9nT2k.gif,Beginner,Abs,"1. Lie on back. 2. Lift leg, draw circles. 3. Repeat other leg.",https://www.youtube.com/watch?v=pbp91h5pgQY
92,Wall Handstand Push-up,Shoulders / Triceps,Bodyweight,https://i.imgur.com/1Ht9k7X.gif,Advanced,Shoulders,1. Kick into handstand. 2. Bend elbows to lower head. 3. Push back up.,https://www.youtube.com/watch?v=2z8JmcrW-As
93,Inverted Row,Back / Biceps,Bodyweight,https://i.imgur.com/7Qh1xoQ.gif,Intermediate,Back,1. Lie under bar. 2. Pull chest to bar. 3. Lower slowly.,https://www.youtube.com/watch?v=EGo4IYlbE5g
94,Step Lunge,Legs / Glutes,Bodyweight,https://i.imgur.com/4tv5cnA.gif,Beginner,Legs,"1. Step forward, bend knee, lower hips. 2. Push back. 3. Alternate.",https://www.youtube.com/watch?v=2C-uNgKwPLE
95,Side Step Squat,Legs / Glutes,Bodyweight,https://i.imgur.com/8hUyhLz.gif,Intermediate,Legs,"1. Step sideways, squat down. 2. Return. 3. Alternate.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
96,Reverse Snow Angel,Shoulders / Back,Bodyweight,https://i.imgur.com/1fjFzUj.gif,Intermediate,Shoulders,"1. Lie face down. 2. Lift arms and legs, move like snow angel. 3. Lower slowly.",https://www.youtube.com/watch?v=EJjXg_DpE4Y
97,Scissor Kicks,Abs / Legs,Bodyweight,https://i.imgur.com/2R1Y2d9.gif,Beginner,Abs,1. Lie on back. 2. Alternate legs up and down. 3. Keep core tight.,https://www.youtube.com/watch?v=Kj4cy0yibEo
98,Spider Crawl,Full Body / Core,Bodyweight,https://i.imgur.com/3N7KZ6V.gif,Intermediate,Full Body,1. Crawl forward/back with opposite hand and foot. 2. Keep low. 3. Repeat.,https://www.youtube.com/watch?v=3Kn3tPjz9aA
99,Hip Circles,Glutes / Hips,Bodyweight,https://i.imgur.com/4rX0W2Q.gif,Beginner,Glutes,"1. On all fours, move hips in circle. 2. Reverse direction. 3. Repeat.",https://www.youtube.com/watch?v=OzAdD3j6pzM
100,Bird Dog,Back / Core,Bodyweight,https://i.imgur.com/1k1nXJ3.gif,Beginner,Back,"1. On all fours, extend opposite arm and leg. 2. Hold, return. 3. Alternate.",https://www.youtube.com/watch?v=v4rJdHS6L0c
