id,subject_uid,question,option_a,option_b,option_c,option_d,correct_answer
42,5,"CSS dùng để làm gì?","Trang trí giao diện","Xử lý logic","Kết nối server","Lưu dữ liệu","a"
43,5,"JavaScript dùng để làm gì?","Tạo style","Xử lý tương tác","Lưu CSDL","Thiết kế ảnh","b"
44,5,"Thẻ <a> dùng để làm gì?","Tạo form","Liên kết","In chữ","Tạo bảng","b"
45,5,"Thẻ <img> dùng để làm gì?","Hiển thị ảnh","Liên kết","Form","Video","a"
46,5,"Frontend là gì?","Giao diện người dùng","Server","CSDL","API","a"
47,5,"Backend là gì?","Giao diện","Xử lý server","CSS","HTML","b"
48,5,"HTTP dùng để làm gì?","Giao thức truyền dữ liệu","Lưu file","Chạy code","Thiết kế UI","a"
49,5,"Web browser dùng để làm gì?","Chạy server","Hiển thị web","Lưu CSDL","Viết code","b"
50,5,"Website là gì?","Ứng dụng desktop","Tập hợp trang web","CSDL","Hệ điều hành","b"
51,6,"Backend chịu trách nhiệm chính cho phần nào?","Giao diện người dùng","Xử lý logic và dữ liệu","Thiết kế đồ họa","Hiệu ứng web","b"
52,6,"Ngôn ngữ thường dùng cho Backend là gì?","HTML","CSS","Python","Photoshop","c"
53,6,"API dùng để làm gì?","Trang trí giao diện","Kết nối các hệ thống","Lưu ảnh","Thiết kế UI","b"
54,6,"REST API hoạt động dựa trên giao thức nào?","FTP","SMTP","HTTP","SSH","c"
55,6,"GET request dùng để làm gì?","Gửi dữ liệu mới","Lấy dữ liệu","Xóa dữ liệu","Cập nhật","b"
56,6,"POST request dùng để làm gì?","Lấy dữ liệu","Gửi dữ liệu","Xóa","Truy vấn","b"
57,6,"Middleware dùng để làm gì?","Trang trí UI","Xử lý trung gian","Lưu dữ liệu","Test","b"
58,6,"Server là gì?","Máy khách","Máy cung cấp dịch vụ","Trình duyệt","CSDL","b"
59,6,"Authentication là gì?","Phân quyền","Xác thực người dùng","Mã hóa","Backup","b"
60,6,"Authorization là gì?","Xác thực","Phân quyền truy cập","Mã hóa","Kết nối","b"
61,7,"Frontend là gì?","Xử lý server","Giao diện người dùng","CSDL","API","b"
62,7,"Framework Frontend phổ biến là gì?","Django","Flask","React","MySQL","c"
63,7,"SPA là viết tắt của gì?","Single Page Application","Server Page App","Static Page App","Simple Program App","a"
64,7,"DOM dùng để làm gì?","Lưu dữ liệu","Biểu diễn cấu trúc HTML","Kết nối server","Bảo mật","b"
65,7,"Event trong JS là gì?","Lỗi","Sự kiện người dùng","Biến","Hàm","b"
66,7,"CSS Flexbox dùng để làm gì?","Xử lý logic","Bố cục giao diện","Lưu dữ liệu","Gửi request","b"
67,7,"Responsive design dùng để làm gì?","Tăng tốc server","Hiển thị tốt nhiều thiết bị","Bảo mật","Test","b"
68,7,"AJAX dùng để làm gì?","Tải lại trang","Giao tiếp bất đồng bộ","Thiết kế UI","Lưu file","b"
69,7,"JSON thường dùng để làm gì?","Lưu ảnh","Trao đổi dữ liệu","Viết HTML","Thiết kế CSS","b"
70,7,"Framework là gì?","Ngôn ngữ","Bộ công cụ phát triển","CSDL","Hệ điều hành","b"
71,8,"Mạng máy tính dùng để làm gì?","Chia sẻ tài nguyên","Lưu dữ liệu","Lập trình","Thiết kế web","a"
72,8,"LAN là viết tắt của gì?","Large Area Network","Local Area Network","Long Area Network","Logic Area Network","b"
73,8,"WAN là viết tắt của gì?","Wide Area Network","Web Area Network","World App Network","Wireless App Network","a"
74,8,"IP dùng để làm gì?","Định danh thiết bị","Mã hóa","Tăng tốc mạng","Bảo mật","a"
75,8,"TCP là gì?","Giao thức truyền tin","Thiết bị mạng","Ngôn ngữ","Server","a"
76,8,"UDP khác TCP ở điểm nào?","Chậm hơn","Không đảm bảo truyền","Bảo mật hơn","Có kết nối","b"
77,8,"DNS dùng để làm gì?","Lưu web","Phân giải tên miền","Bảo mật","Truy vấn","b"
78,8,"Router dùng để làm gì?","Kết nối mạng","Lưu dữ liệu","Bảo mật","Chạy server","a"
79,8,"Firewall dùng để làm gì?","Tăng tốc","Bảo mật mạng","Lưu file","Thiết kế","b"
80,8,"Giao thức HTTP dùng cho gì?","Truyền file","Truyền dữ liệu web","Email","Chat","b"
81,9,"Hệ điều hành dùng để làm gì?","Quản lý tài nguyên","Thiết kế UI","Lập trình","Kết nối mạng","a"
82,9,"CPU dùng để làm gì?","Lưu trữ","Xử lý","Hiển thị","Kết nối","b"
83,9,"RAM là gì?","Bộ nhớ tạm","Ổ cứng","CPU","Mainboard","a"
84,9,"Process là gì?","Chương trình đang chạy","File","Thiết bị","Thread","a"
85,9,"Thread là gì?","Tiến trình","Luồng","Bộ nhớ","Thiết bị","b"
86,9,"Multitasking là gì?","Chạy một chương trình","Chạy nhiều chương trình","Tắt máy","Backup","b"
87,9,"Deadlock là gì?","Lỗi giao diện","Kẹt tiến trình","Virus","Mất mạng","b"
88,9,"Kernel là gì?","Nhân hệ điều hành","Giao diện","Ứng dụng","Driver","a"
89,9,"Scheduler dùng để làm gì?","Phân CPU","Lưu file","Kết nối","Bảo mật","a"
90,9,"Virtual Memory dùng để làm gì?","Tăng RAM ảo","Giảm CPU","Tăng mạng","Backup","a"
91,10,"Phát triển phần mềm là gì?","Viết code","Quy trình tạo phần mềm","Thiết kế UI","Test","b"
92,10,"SDLC là gì?","Chu kỳ phát triển phần mềm","Ngôn ngữ","Framework","CSDL","a"
93,10,"Agile là gì?","Mô hình phát triển","Ngôn ngữ","CSDL","OS","a"
94,10,"Scrum thuộc mô hình nào?","Waterfall","Agile","DevOps","XP","b"
95,10,"Requirement là gì?","Yêu cầu phần mềm","Code","Test","Deploy","a"
96,10,"Testing dùng để làm gì?","Viết code","Kiểm tra lỗi","Triển khai","Thiết kế","b"
97,10,"Unit Test là gì?","Test hệ thống","Test từng phần","Test UI","Test DB","b"
98,10,"Version Control dùng để làm gì?","Lưu code","Quản lý phiên bản","Thiết kế","Deploy","b"
99,10,"Git dùng để làm gì?","Soạn thảo","Quản lý mã nguồn","Thiết kế","Test","b"
100,10,"Deployment là gì?","Viết code","Triển khai phần mềm","Test","Thiết kế","b"
101,11,"Phân tích dữ liệu nhằm mục đích gì?","Trang trí dữ liệu","Rút ra thông tin hữu ích","Lưu trữ dữ liệu","Mã hóa dữ liệu","b"
102,11,"Công cụ phổ biến để phân tích dữ liệu là gì?","Word","Excel","Photoshop","PowerPoint","b"
103,11,"Python thường dùng thư viện nào cho phân tích dữ liệu?","NumPy","Django","Flask","Unity","a"
104,11,"Dữ liệu dạng bảng thường được lưu ở định dạng nào?","MP3","CSV","PNG","EXE","b"
105,11,"Data cleaning là gì?","Tạo dữ liệu","Làm sạch dữ liệu","Mã hóa dữ liệu","Sao lưu","b"
106,11,"Missing value là gì?","Dữ liệu dư","Dữ liệu bị thiếu","Dữ liệu sai","Dữ liệu trùng","b"
107,11,"Pandas dùng để làm gì?","Thiết kế UI","Xử lý dữ liệu bảng","Lập trình web","Mạng","b"
108,11,"Biểu đồ dùng để làm gì?","Trang trí","Trực quan hóa dữ liệu","Mã hóa","Lưu trữ","b"
109,11,"EDA là viết tắt của gì?","Extreme Data Analysis","Exploratory Data Analysis","Excel Data Analysis","Extended Data App","b"
110,11,"Cột dữ liệu biểu diễn thuộc tính gọi là gì?","Row","Column","Cell","Index","b"
111,12,"Thống kê dùng để làm gì?","Viết code","Phân tích dữ liệu","Thiết kế UI","Lưu trữ","b"
112,12,"Giá trị trung bình gọi là gì?","Median","Mean","Mode","Range","b"
113,12,"Median là gì?","Giá trị lớn nhất","Giá trị nhỏ nhất","Giá trị giữa","Giá trị phổ biến","c"
114,12,"Mode là gì?","Giá trị trung bình","Giá trị xuất hiện nhiều nhất","Giá trị giữa","Giá trị nhỏ nhất","b"
115,12,"Phương sai dùng để đo gì?","Trung bình","Độ phân tán","Giá trị lớn nhất","Số mẫu","b"
116,12,"Độ lệch chuẩn phản ánh điều gì?","Xu hướng","Mức độ biến động","Tần suất","Tổng","b"
117,12,"Biểu đồ histogram dùng cho gì?","Dữ liệu phân bố","Dữ liệu văn bản","Hình ảnh","Âm thanh","a"
118,12,"Xác suất nằm trong khoảng nào?","0 đến 1","-1 đến 1","0 đến 100","1 đến 10","a"
119,12,"Phân phối chuẩn còn gọi là gì?","Gaussian","Uniform","Poisson","Binary","a"
120,12,"Thống kê mô tả dùng để làm gì?","Dự đoán","Mô tả dữ liệu","Huấn luyện ML","Lưu trữ","b"
121,13,"Machine Learning là gì?","Lập trình giao diện","Học từ dữ liệu","Thiết kế CSDL","Mạng","b"
122,13,"ML khác lập trình truyền thống ở điểm nào?","Không dùng code","Học từ dữ liệu","Không cần dữ liệu","Không cần thuật toán","b"
123,13,"Supervised Learning cần gì?","Nhãn dữ liệu","Không cần dữ liệu","Không cần thuật toán","Không cần máy tính","a"
124,13,"Unsupervised Learning dùng cho gì?","Dự đoán có nhãn","Phân cụm dữ liệu","Thiết kế UI","Mã hóa","b"
125,13,"Regression dùng để làm gì?","Phân loại","Dự đoán giá trị liên tục","Phân cụm","Nén dữ liệu","b"
126,13,"Classification dùng để làm gì?","Dự đoán số","Phân loại nhãn","Vẽ biểu đồ","Lưu trữ","b"
127,13,"Thuật toán KNN dùng cho gì?","Sắp xếp","Phân loại","Mã hóa","Nén","b"
128,13,"Dataset chia thành train/test để làm gì?","Trang trí","Đánh giá mô hình","Tăng tốc","Giảm dữ liệu","b"
129,13,"Overfitting là gì?","Học quá ít","Học quá khớp dữ liệu","Không học","Lỗi code","b"
130,13,"Accuracy dùng để đo gì?","Thời gian","Độ chính xác","Dung lượng","Tốc độ","b"
131,14,"Deep Learning là gì?","ML cơ bản","ML dùng mạng nơ-ron sâu","Lập trình web","Mạng","b"
132,14,"Neural Network lấy cảm hứng từ đâu?","Máy tính","Não người","Internet","CPU","b"
133,14,"Neuron nhân tạo gồm gì?","CPU","Trọng số và hàm kích hoạt","RAM","Ổ cứng","b"
134,14,"Activation Function dùng để làm gì?","Lưu dữ liệu","Tạo phi tuyến","Tăng RAM","Vẽ biểu đồ","b"
135,14,"ReLU là gì?","Hàm mất mát","Hàm kích hoạt","Thuật toán","Framework","b"
136,14,"Epoch là gì?","Một vòng huấn luyện","Một mẫu","Một lớp","Một file","a"
137,14,"Loss Function dùng để làm gì?","Đánh giá lỗi","Vẽ biểu đồ","Lưu model","Test","a"
138,14,"Backpropagation dùng để làm gì?","Lan truyền xuôi","Cập nhật trọng số","Lưu dữ liệu","Dự đoán","b"
139,14,"CNN thường dùng cho dữ liệu nào?","Văn bản","Hình ảnh","Âm thanh","Số liệu","b"
140,14,"Deep Learning cần gì nhất?","RAM","Dữ liệu lớn","Excel","HTML","b"
141,15,"Trí tuệ nhân tạo là gì?","Lập trình web","Mô phỏng trí thông minh","Thiết kế","Mạng","b"
142,15,"AI bao gồm lĩnh vực nào?","ML","DL","Xử lý ngôn ngữ","Tất cả","d"
143,15,"AI hẹp là gì?","AI toàn năng","AI cho một nhiệm vụ","Không dùng dữ liệu","Không học","b"
144,15,"Chatbot thuộc lĩnh vực nào?","Computer Vision","NLP","Robotics","Networking","b"
145,15,"Computer Vision xử lý gì?","Âm thanh","Hình ảnh","Văn bản","Số","b"
146,15,"NLP dùng để làm gì?","Xử lý hình ảnh","Xử lý ngôn ngữ","Xử lý mạng","Xử lý CPU","b"
147,15,"AI có thể học từ đâu?","Code","Dữ liệu","UI","Mạng","b"
148,15,"Hệ chuyên gia là gì?","Web app","Mô phỏng chuyên gia","Game","CSDL","b"
149,15,"AI hiện nay chủ yếu dựa trên gì?","Luật cứng","Dữ liệu & ML","HTML","CSS","b"
150,15,"Ứng dụng phổ biến của AI là gì?","Soạn thảo","Gợi ý, nhận dạng","Lưu trữ","Backup","b"
151,16,"Mục tiêu chính của an toàn thông tin là gì?","Tăng tốc hệ thống","Bảo mật dữ liệu","Thiết kế UI","Giảm chi phí","b"
152,16,"Bộ ba CIA gồm những gì?","Confidentiality Integrity Availability","CPU IO Access","Cloud Internet App","Code Index Auth","a"
153,16,"Confidentiality nghĩa là gì?","Toàn vẹn","Sẵn sàng","Bí mật","Tốc độ","c"
154,16,"Integrity đảm bảo điều gì?","Dữ liệu không bị thay đổi trái phép","Truy cập nhanh","Sao lưu","Mã hóa","a"
155,16,"Availability là gì?","Bí mật","Toàn vẹn","Sẵn sàng truy cập","Nén dữ liệu","c"
156,16,"Malware là gì?","Phần mềm hợp pháp","Phần mềm độc hại","Hệ điều hành","Firewall","b"
157,16,"Virus máy tính là gì?","Phần cứng lỗi","Chương trình tự lây lan","Tường lửa","Mã hóa","b"
158,16,"Firewall dùng để làm gì?","Lưu trữ","Bảo vệ mạng","Thiết kế","Test","b"
159,16,"Phishing là gì?","Tấn công từ chối dịch vụ","Lừa đảo đánh cắp thông tin","Mã hóa","Sao lưu","b"
160,16,"Xác thực hai yếu tố là gì?","Đăng nhập 2 lần","2 lớp bảo mật","Mã hóa dữ liệu","Sao lưu","b"
161,17,"Kiểm thử phần mềm dùng để làm gì?","Viết code","Phát hiện lỗi","Thiết kế UI","Triển khai","b"
162,17,"Bug là gì?","Tính năng","Lỗi phần mềm","Giao diện","CSDL","b"
163,17,"Test case là gì?","Đoạn code","Kịch bản kiểm thử","Thiết kế","CSDL","b"
164,17,"Unit Test kiểm tra gì?","Toàn hệ thống","Từng hàm/module","Giao diện","Hiệu năng","b"
165,17,"Integration Test dùng để làm gì?","Test từng hàm","Test sự kết hợp module","Test UI","Test DB","b"
166,17,"System Test là gì?","Test đơn vị","Test toàn hệ thống","Test API","Test UI","b"
167,17,"Regression Test nhằm mục đích gì?","Tạo lỗi mới","Đảm bảo sửa lỗi không gây lỗi cũ","Tăng tốc","Deploy","b"
168,17,"Manual Testing là gì?","Test tự động","Test bằng tay","Test server","Test DB","b"
169,17,"Automation Testing dùng công cụ để làm gì?","Viết code","Tự động kiểm thử","Thiết kế","Deploy","b"
170,17,"QA là viết tắt của gì?","Quick App","Quality Assurance","Query Analysis","Queue Access","b"
171,18,"DevOps kết hợp những gì?","Dev và Test","Dev và Ops","UI và UX","Code và DB","b"
172,18,"Mục tiêu chính của DevOps là gì?","Giảm code","Triển khai nhanh và ổn định","Thiết kế UI","Giảm dữ liệu","b"
173,18,"CI là viết tắt của gì?","Continuous Integration","Cloud Infrastructure","Code Interface","Central Index","a"
174,18,"CD là viết tắt của gì?","Code Deploy","Continuous Delivery","Central Data","Cloud Design","b"
175,18,"Pipeline trong DevOps là gì?","Đường ống mạng","Chuỗi bước build-test-deploy","CSDL","Framework","b"
176,18,"Git thường dùng trong DevOps để làm gì?","Thiết kế","Quản lý mã nguồn","Test UI","Deploy server","b"
177,18,"Docker dùng để làm gì?","Lưu trữ","Đóng gói ứng dụng","Thiết kế UI","Test","b"
178,18,"Container là gì?","Máy ảo","Môi trường chạy nhẹ","Hệ điều hành","CSDL","b"
179,18,"Monitoring dùng để làm gì?","Viết code","Giám sát hệ thống","Thiết kế","Test","b"
180,18,"Automation trong DevOps giúp gì?","Chậm hơn","Giảm lỗi thủ công","Tăng lỗi","Giảm bảo mật","b"
181,19,"Điện toán đám mây là gì?","Lưu trữ cục bộ","Cung cấp tài nguyên qua Internet","Thiết kế UI","Lập trình","b"
182,19,"Dịch vụ IaaS cung cấp gì?","Phần mềm","Hạ tầng","Ứng dụng","Dữ liệu","b"
183,19,"PaaS là gì?","Nền tảng phát triển","Hệ điều hành","CSDL","Phần cứng","a"
184,19,"SaaS là gì?","Hạ tầng","Nền tảng","Phần mềm","Mạng","c"
185,19,"Ưu điểm của cloud là gì?","Chi phí cao","Mở rộng linh hoạt","Cố định tài nguyên","Khó truy cập","b"
186,19,"AWS là gì?","Hệ điều hành","Nhà cung cấp cloud","Ngôn ngữ","CSDL","b"
187,19,"Elasticity trong cloud nghĩa là gì?","Cố định","Tự động mở rộng/thu hẹp","Giảm bảo mật","Giảm tốc","b"
188,19,"Public cloud là gì?","Cloud riêng","Cloud dùng chung","Cloud nội bộ","Cloud offline","b"
189,19,"Private cloud là gì?","Cloud công cộng","Cloud riêng tổ chức","Cloud miễn phí","Cloud offline","b"
190,19,"Cloud computing giúp gì cho doanh nghiệp?","Tăng chi phí","Tiết kiệm và linh hoạt","Giảm bảo mật","Giảm hiệu suất","b"
191,20,"Phân tích hệ thống dùng để làm gì?","Viết code","Hiểu và xác định yêu cầu","Thiết kế UI","Test","b"
192,20,"Stakeholder là ai?","Người dùng liên quan","Lập trình viên","Server","DBA","a"
193,20,"Requirement là gì?","Mã nguồn","Yêu cầu hệ thống","Test case","Deploy","b"
194,20,"Functional Requirement là gì?","Yêu cầu hiệu năng","Chức năng hệ thống","Bảo mật","Giao diện","b"
195,20,"Non-functional Requirement là gì?","Chức năng","Hiệu năng, bảo mật","Code","CSDL","b"
196,20,"Use Case dùng để làm gì?","Viết code","Mô tả tương tác","Test","Deploy","b"
197,20,"DFD là viết tắt của gì?","Data Flow Diagram","Design Feature Doc","Debug Function Data","Distributed File Data","a"
198,20,"ERD dùng để làm gì?","Thiết kế UI","Mô hình dữ liệu","Test","Deploy","b"
199,20,"Phân tích hệ thống diễn ra khi nào?","Sau khi code","Trước khi phát triển","Sau deploy","Sau test","b"
200,20,"Mục tiêu cuối của phân tích hệ thống là gì?","Viết code","Xây đúng hệ thống","Thiết kế UI","Test","b"
201,21,"Marketing là gì?","Bán hàng","Thỏa mãn nhu cầu khách hàng","Quảng cáo","Khuyến mãi","b"
202,21,"4P trong Marketing gồm những gì?","People Process Physical","Product Price Place Promotion","Plan Price Profit Product","Promotion People Place Plan","b"
203,21,"Product trong 4P là gì?","Giá","Sản phẩm","Phân phối","Quảng cáo","b"
204,21,"Price trong Marketing là gì?","Sản phẩm","Giá bán","Kênh phân phối","Khuyến mãi","b"
205,21,"Place đề cập đến điều gì?","Quảng cáo","Phân phối","Sản xuất","Nghiên cứu","b"
206,21,"Promotion dùng để làm gì?","Thiết kế sản phẩm","Truyền thông và xúc tiến","Định giá","Phân phối","b"
207,21,"Thị trường mục tiêu là gì?","Tất cả khách hàng","Nhóm khách hàng cụ thể","Nhà cung cấp","Đối thủ","b"
208,21,"Segmentation là gì?","Định giá","Phân khúc thị trường","Quảng cáo","Bán hàng","b"
209,21,"Brand là gì?","Logo","Thương hiệu","Sản phẩm","Giá","b"
210,21,"Customer value là gì?","Chi phí","Giá trị mang lại cho khách hàng","Doanh thu","Lợi nhuận","b"
211,22,"Digital Marketing là gì?","Marketing truyền thống","Marketing trên nền tảng số","Bán hàng trực tiếp","In ấn","b"
212,22,"SEO dùng để làm gì?","Chạy quảng cáo","Tối ưu tìm kiếm","Thiết kế web","Gửi email","b"
213,22,"SEM bao gồm gì?","SEO và quảng cáo tìm kiếm","Email","Social","Affiliate","a"
214,22,"Content Marketing là gì?","Bán trực tiếp","Tạo nội dung giá trị","Giảm giá","In ấn","b"
215,22,"Social Media Marketing dùng để làm gì?","Quản lý nhân sự","Quảng bá trên mạng xã hội","Thiết kế sản phẩm","Tài chính","b"
216,22,"CTR là gì?","Tỷ lệ nhấp","Doanh thu","Lượt hiển thị","Chi phí","a"
217,22,"Conversion là gì?","Lượt xem","Hành động mong muốn","Like","Share","b"
218,22,"Email Marketing dùng để làm gì?","Gửi spam","Chăm sóc và bán hàng","Thiết kế web","SEO","b"
219,22,"Landing page là gì?","Trang chủ","Trang đích chiến dịch","Trang admin","Trang lỗi","b"
220,22,"KPI trong Digital Marketing là gì?","Chi phí","Chỉ số đo hiệu quả","Nội dung","Thiết kế","b"
221,23,"Quản trị kinh doanh là gì?","Bán hàng","Quản lý hoạt động doanh nghiệp","Marketing","Kế toán","b"
222,23,"Chức năng chính của quản trị gồm gì?","Lập trình","Lập kế hoạch, tổ chức, lãnh đạo, kiểm soát","Thiết kế","Test","b"
223,23,"Planning là gì?","Kiểm soát","Lập kế hoạch","Tổ chức","Lãnh đạo","b"
224,23,"Organizing dùng để làm gì?","Phân công nguồn lực","Kiểm tra","Bán hàng","Marketing","a"
225,23,"Leading là gì?","Lãnh đạo","Kiểm soát","Kế toán","Marketing","a"
226,23,"Controlling dùng để làm gì?","Lập kế hoạch","Giám sát và điều chỉnh","Bán hàng","Thiết kế","b"
227,23,"Mục tiêu kinh doanh là gì?","Chi phí","Kết quả mong muốn","Quảng cáo","Sản phẩm","b"
228,23,"Chiến lược là gì?","Hành động ngắn hạn","Định hướng dài hạn","Quảng cáo","Bán hàng","b"
229,23,"Mô hình tổ chức dùng để làm gì?","Trang trí","Phân chia chức năng","Marketing","Kế toán","b"
230,23,"Quản trị hiệu quả giúp gì?","Tăng chi phí","Đạt mục tiêu","Giảm nhân sự","Giảm chất lượng","b"
231,24,"Khởi nghiệp là gì?","Mở cửa hàng","Xây dựng doanh nghiệp mới","Đầu tư chứng khoán","Marketing","b"
232,24,"Startup thường có đặc điểm gì?","Ổn định","Tăng trưởng nhanh","Không rủi ro","Ít sáng tạo","b"
233,24,"Ý tưởng khởi nghiệp cần gì nhất?","Vốn lớn","Giải quyết vấn đề","Quảng cáo","Nhân sự","b"
234,24,"Business Model là gì?","Kế hoạch marketing","Mô hình tạo doanh thu","Báo cáo tài chính","Thiết kế","b"
235,24,"Value Proposition là gì?","Chi phí","Giá trị cung cấp cho khách hàng","Doanh thu","Quảng cáo","b"
236,24,"Lean Startup nhấn mạnh điều gì?","Kế hoạch dài hạn","Thử nghiệm nhanh","Đầu tư lớn","Ổn định","b"
237,24,"MVP là gì?","Sản phẩm hoàn chỉnh","Sản phẩm khả dụng tối thiểu","Bản demo","Ý tưởng","b"
238,24,"Pivot trong startup là gì?","Dừng dự án","Điều chỉnh hướng đi","Gọi vốn","Bán công ty","b"
239,24,"Gọi vốn dùng để làm gì?","Marketing","Phát triển startup","Thiết kế","Kiểm toán","b"
240,24,"Rủi ro lớn nhất của startup là gì?","Thiếu ý tưởng","Thị trường không chấp nhận","Nhiều nhân sự","Quảng cáo ít","b"
241,25,"Phân tích tài chính dùng để làm gì?","Thiết kế","Đánh giá tình hình tài chính","Marketing","Bán hàng","b"
242,25,"Báo cáo tài chính gồm gì?","Kế hoạch","Bảng cân đối, KQKD, LCTT","Marketing","HR","b"
243,25,"Bảng cân đối kế toán phản ánh gì?","Doanh thu","Tài sản và nguồn vốn","Chi phí","Lợi nhuận","b"
244,25,"Doanh thu là gì?","Chi phí","Tiền thu từ bán hàng","Lợi nhuận","Vốn","b"
245,25,"Lợi nhuận bằng gì?","Doanh thu - chi phí","Chi phí - doanh thu","Tài sản - nợ","Vốn - nợ","a"
246,25,"Dòng tiền dùng để làm gì?","Trang trí","Theo dõi tiền vào ra","Marketing","Quảng cáo","b"
247,25,"ROE đo lường điều gì?","Khả năng sinh lời vốn chủ","Doanh thu","Chi phí","Tài sản","a"
248,25,"ROA đo lường gì?","Lợi nhuận trên tài sản","Doanh thu","Chi phí","Nợ","a"
249,25,"Tỷ lệ thanh toán phản ánh gì?","Marketing","Khả năng trả nợ","Quảng cáo","Nhân sự","b"
250,25,"Phân tích tài chính giúp quyết định gì?","Thiết kế","Đầu tư và quản lý","Quảng cáo","Bán hàng","b"
251,26,"Kế toán dùng để làm gì?","Quảng cáo","Ghi nhận và báo cáo tài chính","Marketing","Bán hàng","b"
252,26,"Đối tượng của kế toán là gì?","Khách hàng","Tài sản và nguồn vốn","Nhân sự","Marketing","b"
